0,3386,38,-90,232
1,4422,55,-87,246
2,6416,92,-65,253
3,6978,55,-82,253
4,5932,22,-37,201
5,5529,-14,-83,154
6,5875,30,-101,237
7,6877,41,-96,250
8,7123,27,-78,217
9,7594,38,-70,242
10,6990,30,-67,218
11,9258,34,-91,226
12,10865,40,-75,219
13,12932,36,-84,256
14,10998,30,-92,254
15,10608,36,-92,266
16,9240,56,-78,298
17,12286,29,-93,263
18,14710,37,-76,290
19,14086,37,-56,262
20,14619,40,-37,253
21,13529,55,-25,282
22,14432,49,7,254
23,16738,7,-1,218
24,16482,59,89,292
25,15013,6,81,141
26,14215,23,86,200
27,15104,21,121,179
28,14500,21,148,179
29,12582,16,150,215
30,13658,16,161,212
31,16725,-22,130,150
32,16732,-26,186,166
33,16736,2,217,227
34,16736,-23,208,127
35,16735,-9,219,122
36,16741,-20,201,123
37,16738,-18,200,145
38,14737,0,204,143
39,10768,-18,212,111
40,9477,-3,216,169
41,9263,18,202,172
42,8215,-1,180,145
43,7980,-21,167,174
44,7999,-7,145,211
45,7858,-4,120,217
46,9105,9,60,317
47,9845,-23,48,299
48,11558,-32,89,177
49,10797,0,51,252
50,11489,-15,62,210
51,8885,-34,26,153
52,10827,26,-27,267
53,10096,20,-64,304
54,7970,16,-46,335
55,10454,19,-45,310
56,10805,4,-38,246
57,10358,20,-33,254
58,8430,23,-35,232
59,7898,23,-32,247
60,7595,21,-55,244
61,8621,20,-67,256
62,13208,22,-54,260
63,10665,28,-43,264
64,12537,22,-33,256
65,11640,35,-40,265
66,11476,26,-27,287
67,13962,10,-33,257
68,15868,19,7,273
69,14533,11,27,249
70,16740,6,54,225
71,16733,19,100,246
72,16740,-13,103,228
73,16736,1,123,259
74,16743,-26,111,122
75,14541,0,146,153
76,13784,7,174,206
77,14084,-5,169,174
78,16726,-1,187,186
79,16727,8,205,187
80,16738,-10,210,135
81,16721,-32,165,97
82,16727,8,259,100
83,16731,37,260,92
84,16742,1,251,95
85,16716,-5,252,75
86,13043,11,251,108
87,11182,-15,220,117
88,9625,-34,188,136
89,8879,-10,188,156
90,7350,-17,195,125
91,5936,-15,198,133
92,4682,-5,173,173
93,5817,33,153,259
94,6162,10,133,253
95,5786,-7,148,146
96,5474,-6,130,134
97,5701,44,90,264
98,7647,34,65,338
99,8573,19,63,286
100,7162,4,51,211
101,7193,19,32,183
102,8293,34,34,183
103,12020,57,-16,227
104,12062,57,-33,241
105,12379,63,-52,282
106,11459,66,-32,268
107,8455,63,-24,259
108,9205,59,-20,233
109,8338,58,-34,227
110,7828,60,-41,231
111,8064,62,-57,247
112,7387,60,-55,248
113,8153,69,-49,260
114,8832,69,-40,254
115,8347,67,-42,272
116,9569,55,-54,259
117,10593,51,-46,250
118,11677,37,6,225
119,11466,47,10,222
120,11764,43,12,239
121,11622,38,20,302
122,16725,11,16,247
123,16736,11,47,215
124,16707,41,99,270
125,15143,-21,126,164
126,16651,-1,136,184
127,14578,24,100,279
128,16076,0,133,215
129,13623,16,162,110
130,16288,17,220,201
131,15610,-23,161,152
132,16289,-28,179,180
133,16728,-31,209,130
134,16733,4,278,148
135,16737,34,286,146
136,16733,-33,231,36
137,16724,-28,241,95
138,16746,-1,234,116
139,16732,-37,206,121
140,11938,-29,204,124
141,10078,-21,196,163
142,9086,-27,198,136
143,11237,-40,169,149
144,8419,-15,177,176
145,9587,4,173,193
146,8962,-17,137,196
147,9326,4,142,210
148,8875,-25,96,190
149,10713,31,67,275
150,11574,27,54,256
151,11234,53,38,246
152,10316,42,56,220
153,8808,42,6,249
154,7760,55,-29,244
155,8338,62,-54,273
156,9381,64,-41,320
157,8939,32,-48,253
158,7762,23,-58,238
159,8164,40,-36,248
160,6515,33,-65,237
